val/loss,val/error_c,val/error_u,val/error_v,val/error_w,val/error_p,val/loss_best,epoch,step,train/loss
713.8950805664062,0.4297037720680237,1.0002028942108154,1.0004597902297974,0.9984626770019531,0.9998931288719177,713.8950805664062,0,423,
,,,,,,,0,423,0.029054483398795128
713.9340209960938,0.3616913855075836,0.9988545775413513,0.9888222217559814,0.9971083402633667,0.9999179840087891,713.8950805664062,1,847,
,,,,,,,1,847,0.015611005015671253
713.9821166992188,0.3452354371547699,0.9981923699378967,0.9837485551834106,0.9973706603050232,0.9999545216560364,713.8950805664062,2,1271,
,,,,,,,2,1271,0.013658965937793255
713.99560546875,0.3325393497943878,0.9966385364532471,0.9884965419769287,0.9981554746627808,0.9999716281890869,713.8950805664062,3,1695,
,,,,,,,3,1695,0.01246801670640707
713.999267578125,0.32407090067863464,0.9947051405906677,0.9945964217185974,0.9989251494407654,0.9999717473983765,713.8950805664062,4,2119,
,,,,,,,4,2119,0.011600964702665806
714.02001953125,0.316070556640625,0.9922013282775879,0.9967763423919678,0.9998629093170166,0.9999801516532898,713.8950805664062,5,2543,
,,,,,,,5,2543,0.010904431343078613
714.0282592773438,0.3064509332180023,0.9874375462532043,0.9978135824203491,1.0008671283721924,0.9999940395355225,713.8950805664062,6,2967,
,,,,,,,6,2967,0.010205094702541828
714.03076171875,0.29068297147750854,0.9777657389640808,0.9965213537216187,0.9971390962600708,0.9999995231628418,713.8950805664062,7,3391,
,,,,,,,7,3391,0.00946187973022461
714.0347900390625,0.24630683660507202,0.9750685095787048,1.0014331340789795,1.0031538009643555,1.0000003576278687,713.8950805664062,8,3815,
,,,,,,,8,3815,0.007771638687700033
714.0372314453125,0.22616566717624664,0.978635311126709,1.0047527551651,1.0054042339324951,1.0000003576278687,713.8950805664062,9,4239,
,,,,,,,9,4239,0.006420486606657505
714.0376586914062,0.2148878276348114,0.978637158870697,1.0054866075515747,1.0047459602355957,1.0000004768371582,713.8950805664062,10,4663,
,,,,,,,10,4663,0.005689793266355991
714.0372924804688,0.20773085951805115,0.9765409827232361,1.0035271644592285,1.0046898126602173,1.0000007152557373,713.8950805664062,11,5087,
,,,,,,,11,5087,0.005053212400525808
714.0370483398438,0.20225057005882263,0.9737313389778137,1.000322699546814,1.0036969184875488,1.0000019073486328,713.8950805664062,12,5511,
,,,,,,,12,5511,0.004815832711756229
714.0374145507812,0.19660863280296326,0.9716840386390686,0.9968708753585815,1.001889944076538,1.000002145767212,713.8950805664062,13,5935,
,,,,,,,13,5935,0.0045767491683363914
714.0391845703125,0.19165737926959991,0.9718721508979797,0.9934036135673523,0.999584436416626,1.0000039339065552,713.8950805664062,14,6359,
,,,,,,,14,6359,0.004646568559110165
714.0416259765625,0.18735741078853607,0.9698168039321899,0.990128219127655,0.997266411781311,1.0000079870224,713.8950805664062,15,6783,
,,,,,,,15,6783,0.004059215541929007
714.0419311523438,0.18298941850662231,0.9677367210388184,0.9860318303108215,0.9939394593238831,1.000009536743164,713.8950805664062,16,7207,
,,,,,,,16,7207,0.003977488726377487
714.044677734375,0.17824676632881165,0.9642535448074341,0.9816088080406189,0.990004301071167,1.0000104904174805,713.8950805664062,17,7631,
,,,,,,,17,7631,0.003792251693084836
714.0439453125,0.17721901834011078,0.9606335163116455,0.9778072834014893,0.9858788847923279,1.0000114440917969,713.8950805664062,18,8055,
,,,,,,,18,8055,0.003608154831454158
714.0358276367188,0.16892196238040924,0.9579662680625916,0.9746565818786621,0.9816609025001526,1.0000075101852417,713.8950805664062,19,8479,
,,,,,,,19,8479,0.003416659077629447
714.0263061523438,0.16314038634300232,0.9562873840332031,0.9719442129135132,0.9767115116119385,1.0000051259994507,713.8950805664062,20,8903,
,,,,,,,20,8903,0.0032479828223586082
